                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.1919,                0.76759,                 1.0143,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0013782,              0.0013782,              0.0013782
                     38,                 1.1825,                0.79122,                0.99966,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0013699,              0.0013699,              0.0013699
                     39,                 1.1335,                0.74278,                0.97624,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0013617,              0.0013617,              0.0013617
                     40,                 1.1418,                0.74081,                 1.0025,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0013534,              0.0013534,              0.0013534
                     41,                 1.1726,                0.72664,                 1.0273,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0013452,              0.0013452,              0.0013452
                     42,                 1.1436,                0.74376,                 0.9741,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0013369,              0.0013369,              0.0013369
                     43,                 1.1094,                0.74405,                0.99143,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0013287,              0.0013287,              0.0013287
                     44,                 1.1354,                 0.7103,                0.99288,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0013204,              0.0013204,              0.0013204
                     45,                 1.0655,                 0.7388,                0.97117,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0013122,              0.0013122,              0.0013122
                     46,                 1.0643,                0.66487,                0.97534,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0013039,              0.0013039,              0.0013039
                     47,                 1.1661,                0.77483,                0.98855,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0012957,              0.0012957,              0.0012957
                     48,                 1.0825,                0.69362,                0.97399,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0012874,              0.0012874,              0.0012874
                     49,                 1.0713,                0.72585,                 0.9858,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0012792,              0.0012792,              0.0012792
                     50,                 1.1103,                0.73279,                0.99019,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0012709,              0.0012709,              0.0012709
                     51,                 1.0641,                0.74046,                0.98616,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0012627,              0.0012627,              0.0012627
                     52,                   1.14,                0.73085,                 1.0063,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0012544,              0.0012544,              0.0012544
                     53,                 1.0323,                0.70283,                0.98209,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0012462,              0.0012462,              0.0012462
                     54,                 1.0708,                0.70021,                0.96912,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0012379,              0.0012379,              0.0012379
                     55,                  1.125,                 0.6807,                0.97678,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0012297,              0.0012297,              0.0012297
                     56,                 1.0649,                0.70933,                0.97308,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0012214,              0.0012214,              0.0012214
                     57,                 1.1102,                0.69236,                0.96816,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0012132,              0.0012132,              0.0012132
                     58,                 1.0443,                0.67637,                0.95035,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0012049,              0.0012049,              0.0012049
                     59,                 1.0594,                0.64115,                 0.9439,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0011967,              0.0011967,              0.0011967
                     60,                 1.0585,                0.66489,                0.96621,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0011884,              0.0011884,              0.0011884
                     61,                 1.0535,                0.67903,                0.95639,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0011802,              0.0011802,              0.0011802
                     62,                 1.1153,                0.70465,                 0.9686,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                     63,                 1.0757,                0.67051,                0.97176,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0011636,              0.0011636,              0.0011636
                     64,                 1.0847,                0.69974,                0.95503,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0011554,              0.0011554,              0.0011554
                     65,                 1.0386,                0.66309,                0.96904,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0011471,              0.0011471,              0.0011471
                     66,                 1.0763,                0.63031,                0.96349,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0011389,              0.0011389,              0.0011389
                     67,                 1.0483,                0.67236,                0.95885,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0011306,              0.0011306,              0.0011306
                     68,                 1.0632,                0.66706,                0.95906,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0011224,              0.0011224,              0.0011224
                     69,                  1.044,                0.64177,                0.94186,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0011141,              0.0011141,              0.0011141
                     70,                  1.053,                 0.6372,                0.95424,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0011059,              0.0011059,              0.0011059
                     71,                 1.0445,                0.67517,                 0.9365,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0010976,              0.0010976,              0.0010976
                     72,                 1.0572,                0.67312,                0.96332,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0010894,              0.0010894,              0.0010894
